model_label,threshold,preprocess_mode,alignment,embedding_dim,avg_detection_ms,avg_embedding_ms,total_latency_ms,fps_est,accuracy,precision,f1
mediapipe + dlib,0.6,pad_resize,False,128,1.3659898876325356,163.07332134832842,164.43931123596096,6.081270910731665,0.9661016949152542,0.979591836734694,0.979591836734694
dlib_hog + dlib,0.6,none,True,128,16.638407865132884,170.6593348314599,187.29774269659276,5.3390926425628065,0.9491525423728814,0.9411764705882352,0.9696969696969696
mediapipe + dlib,0.6,pad_resize,True,128,36.007228089944334,171.37433595506877,207.3815640450131,4.822029405578914,0.9491525423728814,0.9791666666666666,0.9690721649484536
dlib_hog + dlib,0.6,resize,True,128,16.586196629279502,171.85249999994502,188.43869662922452,5.3067656372492245,0.9322033898305084,0.9387755102040816,0.9583333333333334
dlib_cnn + dlib,0.6,pad_resize,True,128,2298.162069662917,174.72025056179447,2472.8823202247113,0.4043864084519517,0.9322033898305084,0.9583333333333334,0.9583333333333334
yolo + dlib,0.6,pad_resize,True,128,55.67520224703299,200.3983584269376,256.0735606739706,3.905127875630966,0.9152542372881356,0.9056603773584906,0.9504950495049505
dlib_hog + dlib,0.6,pad_resize,True,128,16.189871910008538,170.2428337080011,186.43270561800963,5.363865726697895,0.9152542372881356,0.92,0.9484536082474226
dlib_hog + deepface (Facenet512),0.4,pad_resize,True,512,16.56346966292097,196.4832617976641,213.04673146058508,4.693805876036198,0.9152542372881356,1.0,0.946236559139785
